InventoryID,BorrowingLanguageGlottocode,BorrowedSound,SourceLanguageGlottocode,OnlyInLoanwords,Result,NewDistinction,Comments.x,Verified,Glottocode,LanguageName,BibTexKey,Filename,Contributor,Comments.y,PhoibleID,ClosestNeighbor,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea,is_rhotic,to_analysis,another_native_rhotic,distinction_in_donor,source,rhotic_comment
18,bafu1246,r,stan1293,no,to be checked,to be checked,"restricted distribution as an allophone of /l/ intervocally. Few words containing [r] are attested in the speech of a few educated speakers. These, I think, are words that are not yet fully integrated into the sound system of the language. In most words, /r/ in loanwords appears as [l]. does [r] occur in the relevant english variety? Source language uncertain",NA,bafu1246,Bafut,tamanji2009bafut,NA,Elad Eisen,NA,NA,NA,atla1278,bafu1247,Bafut,FALSE,language,safe,6.14153,10.1194,bfd,NA,NA,0,0,2,CM,bafu1246,bfd,Africa,TRUE,Yes,No,,tamanji2009bafut: 12-13,
25,beta1257,ʁ,unknown,yes,to be checked,to be checked,NA,NA,beta1257,Bétanure,mutzafi2008betanure,NA,KurdistanDB,NA,NA,NA,afro1255,lish1247,Bétanure,FALSE,dialect,safe,NA,NA,NA,NA,NA,0,0,0,NA,beta1257,NA,Eurasia,TRUE,Yes,Yes,Yes,mutzafi2008betanure: 17-19,
43,chiq1250,r,unknown,yes,to be checked,to be checked,(loan),NA,chiq1250,Chiquihuitlán Mazatec,PikePike1947,maq_SPA1979_phon.pdf,Steven Moran,NA,99,NA,otom1299,maza1308,Chiquihuitlán Mazatec,FALSE,language,definitely endangered,18.0541,-96.6659,maq,NA,NA,0,0,0,MX,chiq1250,maq,North America,TRUE,Yes,Yes,Yes,PikePike1947: 79-80,
50,copa1236,ɾ,unknown,yes,to be checked,to be checked,(loan),NA,copa1236,Copainalá Zoque,Wonderly1951,zoc_SPA1979_phon.pdf,Steven Moran,NA,83,NA,mixe1284,chia1261,Copainalá Zoque,FALSE,language,definitely endangered,17.2157,-93.3183,zoc,NA,NA,0,0,2,MX,copa1236,zoc,North America,TRUE,Yes,No,,Wonderly1951: 107,
50,copa1236,r,unknown,yes,to be checked,to be checked,(loan),NA,copa1236,Copainalá Zoque,Wonderly1951,zoc_SPA1979_phon.pdf,Steven Moran,NA,83,NA,mixe1284,chia1261,Copainalá Zoque,FALSE,language,definitely endangered,17.2157,-93.3183,zoc,NA,NA,0,0,2,MX,copa1236,zoc,North America,TRUE,Yes,No,,Wonderly1951: 107,
85,chal1275,rˤ,unknown,yes,to be checked,to be checked,NA,NA,chal1275,Hassane Neo-Aramaic (Christian NENA),jastrow1997hassane,NA,KurdistanDB,NA,NA,NA,afro1255,nort3241,Chaldean Neo-Aramaic,FALSE,language,definitely endangered,37.0972,43.5027,cld,NA,NA,0,0,7,IQ SY TR,chal1275,cld,Eurasia,TRUE,No,,,jastrow1997hassane,The source doesn't list borrowed phonemes
94,itza1241,r,stan1288,no,to be checked,to be checked,rarely in native words - onomatopoeias and sound-symbolic words,NA,itza1241,Itzá,hofling2000itzajmaya,NA,Elad Eisen,NA,NA,NA,maya1287,mopa1242,Itzá,FALSE,language,severely endangered,17.0269,-89.8734,itz,NA,NA,0,0,0,GT,itza1241,itz,North America,TRUE,Yes,No,,hofling2000itzajmaya: 3,
112,nort3142,rˤ,unknown,yes,to be checked,to be checked,NA,NA,nort3142,Anatolian Arabic,jastrow2006anatolianarabic,NA,KurdistanDB,NA,NA,NA,afro1255,qelt1235,North Mesopotamian Arabic,FALSE,language,safe,36.2986,42.0047,ayp,NA,NA,0,0,0,IQ JO SY TR,nort3142,ayp,Eurasia,TRUE,No,,,jastrow2006anatolianarabic: 88-89,Doesn't seem to be borrowed
154,mong1331,r,"russ1263, tibe1272",no,to be checked,to be checked,"natively never word-initially, borrowing has broadened its distribution",NA,mong1331,Mongolian,svantesson2005mongolian,NA,Elad Eisen,NA,NA,NA,mong1329,khal1273,Mongolian,FALSE,family,safe,NA,NA,mon,NA,NA,0,2,14,MN,NA,NA,Eurasia,TRUE,No,,,svantesson2005mongolian: 26,Not new phoneme
179,paez1247,ɾ,unknown,yes,to be checked,to be checked,(loan),NA,paez1247,Páez,Gerdel1973,pbb_SPA1979_phon.pdf,Steven Moran,NA,102,NA,NA,NA,Páez,FALSE,language,vulnerable,2.61516,-76.3125,pbb,NA,NA,0,0,2,CO,paez1247,pbb,South America,TRUE,Yes,No,,gerdel1973paez: 36,
